Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
78937892,-2.55,-157.30,7.6,6.86,-9.8,12.4,-52.3
79114882,-2.59,-157.26,7.7,6.77,-9.8,12.5,-52.0
79291872,-2.62,-157.21,7.8,6.67,-9.8,12.6,-51.6
79468864,-2.67,-157.15,7.9,6.56,-9.9,12.7,-51.2
79645854,-2.71,-156.94,8.1,6.46,-9.9,12.8,-51.0
79822844,-2.76,-156.81,8.2,6.35,-10.0,12.9,-50.7
79999836,-2.78,-156.59,8.3,6.30,-10.1,13.0,-50.7
80176826,-2.82,-156.44,8.4,6.22,-10.1,13.2,-50.5
80353816,-2.86,-156.19,8.5,6.13,-10.2,13.3,-50.3
80530808,-2.90,-156.01,8.6,6.05,-10.3,13.5,-50.1
80707798,-2.91,-155.73,8.7,6.03,-10.4,13.6,-50.3
80884788,-2.94,-155.41,8.8,5.97,-10.6,13.7,-50.4
81061780,-2.95,-155.12,8.8,5.95,-10.7,13.9,-50.6
81238770,-2.96,-154.81,8.8,5.93,-10.8,14.0,-50.8
81415760,-2.98,-154.64,8.9,5.88,-10.9,14.1,-50.7
81592752,-3.00,-154.37,9.0,5.84,-11.0,14.2,-50.8
81769742,-3.01,-154.01,9.0,5.83,-11.2,14.4,-51.1
81946732,-3.02,-153.62,9.1,5.81,-11.4,14.5,-51.4
82123724,-3.04,-153.36,9.1,5.78,-11.5,14.7,-51.5
82300714,-3.03,-153.04,9.1,5.79,-11.6,14.8,-51.9
82477704,-3.04,-152.61,9.2,5.77,-11.8,14.9,-52.2
82654696,-3.03,-152.27,9.1,5.80,-12.0,15.0,-52.6
82831686,-2.99,-151.93,9.0,5.86,-12.1,15.1,-53.3
83008676,-3.00,-151.62,9.1,5.85,-12.3,15.2,-53.5
83185668,-2.97,-151.35,9.0,5.91,-12.4,15.3,-54.0
83362658,-2.92,-151.07,8.9,6.00,-12.5,15.3,-54.7
83539648,-2.89,-150.77,8.8,6.06,-12.7,15.4,-55.2
83716640,-2.85,-150.60,8.7,6.15,-12.7,15.4,-55.7
83893630,-2.82,-150.42,8.6,6.21,-12.8,15.5,-56.2
84070620,-2.78,-150.24,8.5,6.31,-12.9,15.5,-56.8
84247612,-2.74,-150.05,8.4,6.38,-13.0,15.5,-57.2
84424602,-2.71,-149.89,8.3,6.47,-13.1,15.5,-57.7
84601592,-2.66,-149.81,8.1,6.58,-13.2,15.5,-58.2
84778584,-2.63,-149.69,8.0,6.66,-13.2,15.5,-58.7
84955574,-2.57,-149.56,7.9,6.80,-13.3,15.4,-59.3
85132564,-2.53,-149.51,7.8,6.91,-13.3,15.4,-59.8
85309556,-2.50,-149.43,7.7,7.00,-13.4,15.4,-60.2
85486546,-2.45,-149.49,7.5,7.13,-13.4,15.3,-60.6
85663536,-2.41,-149.38,7.4,7.26,-13.4,15.3,-61.1
85840528,-2.37,-149.37,7.3,7.38,-13.4,15.3,-61.6
86017518,-2.34,-149.48,7.2,7.47,-13.4,15.2,-61.8
86194508,-2.27,-149.56,7.0,7.68,-13.4,15.1,-62.4
86371500,-2.25,-149.50,6.9,7.77,-13.4,15.1,-62.7
86548490,-2.21,-149.66,6.8,7.90,-13.3,15.0,-63.0
86725480,-2.18,-149.68,6.7,8.01,-13.3,14.9,-63.3
86902472,-2.15,-149.84,6.6,8.12,-13.3,14.8,-63.5
87079462,-2.11,-149.98,6.5,8.27,-13.2,14.7,-63.9
87256452,-2.09,-150.07,6.4,8.35,-13.2,14.6,-64.0
87433444,-2.06,-150.20,6.3,8.45,-13.1,14.6,-64.2
