Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
84601592,-2.67,175.55,7.6,6.55,1.9,7.9,13.9
84778584,-2.71,175.60,7.8,6.46,1.9,8.0,13.6
84955574,-2.74,175.77,7.8,6.40,1.8,8.0,13.0
85132564,-2.76,175.83,7.9,6.34,1.8,8.1,12.7
85309556,-2.80,175.96,8.0,6.25,1.7,8.2,12.1
85486546,-2.82,176.15,8.1,6.21,1.6,8.2,11.5
85663536,-2.85,176.33,8.1,6.15,1.6,8.3,10.8
85840528,-2.87,176.51,8.2,6.10,1.5,8.3,10.2
86017518,-2.89,176.64,8.2,6.07,1.4,8.4,9.8
86194508,-2.89,176.91,8.2,6.07,1.3,8.3,9.1
86371500,-2.91,177.14,8.3,6.02,1.2,8.4,8.3
86548490,-2.91,177.34,8.3,6.02,1.1,8.4,7.8
86725480,-2.91,177.59,8.3,6.02,1.0,8.4,7.0
86902472,-2.91,177.80,8.3,6.03,0.9,8.3,6.4
87079462,-2.90,178.01,8.3,6.05,0.8,8.3,5.8
87256452,-2.88,178.21,8.2,6.08,0.8,8.3,5.3
87433444,-2.88,178.36,8.2,6.09,0.7,8.2,4.9
87610434,-2.86,178.52,8.2,6.12,0.6,8.2,4.4
87787424,-2.85,178.67,8.1,6.15,0.6,8.1,4.0
87964416,-2.82,178.88,8.0,6.22,0.5,8.1,3.4
88141406,-2.82,178.94,8.0,6.22,0.5,8.1,3.2
88318396,-2.80,178.99,8.0,6.25,0.4,8.0,3.1
88495388,-2.79,179.14,8.0,6.28,0.4,8.0,2.6
88672378,-2.77,179.22,7.9,6.34,0.3,7.9,2.4
