Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
64778638,-1.34,-171.08,3.9,12.95,-3.9,5.5,-44.9
64955628,-1.34,-171.38,3.9,13.03,-3.7,5.4,-44.2
65132620,-1.34,-171.58,3.9,12.96,-3.7,5.3,-43.3
65309610,-1.35,-171.83,3.9,12.94,-3.6,5.3,-42.4
65486600,-1.35,-172.12,3.9,12.94,-3.4,5.2,-41.4
65663592,-1.35,-172.33,3.9,12.91,-3.3,5.1,-40.6
65840582,-1.36,-172.63,3.9,12.81,-3.2,5.1,-39.2
66017572,-1.36,-172.91,3.9,12.76,-3.1,5.0,-38.0
66194564,-1.37,-173.17,4.0,12.67,-3.0,4.9,-36.8
66371554,-1.38,-173.49,4.0,12.59,-2.8,4.9,-35.3
66548544,-1.39,-173.72,4.0,12.51,-2.7,4.8,-34.2
66725536,-1.39,-174.03,4.0,12.52,-2.6,4.8,-32.9
66902526,-1.42,-174.29,4.1,12.29,-2.5,4.8,-31.3
67079516,-1.44,-174.59,4.1,12.09,-2.3,4.8,-29.5
67256508,-1.45,-174.88,4.2,11.99,-2.2,4.7,-28.0
67433498,-1.47,-175.19,4.2,11.82,-2.1,4.7,-26.2
67610488,-1.50,-175.44,4.3,11.62,-2.0,4.7,-24.6
67787480,-1.52,-175.81,4.4,11.47,-1.8,4.7,-22.6
67964470,-1.55,-176.07,4.5,11.22,-1.7,4.8,-20.9
68141460,-1.57,-176.36,4.5,11.07,-1.6,4.8,-19.2
68318452,-1.61,-176.62,4.6,10.81,-1.5,4.9,-17.5
68495442,-1.65,-176.95,4.7,10.54,-1.3,4.9,-15.5
68672432,-1.71,-177.22,4.9,10.22,-1.2,5.0,-13.8
68849424,-1.74,-177.50,5.0,10.04,-1.1,5.1,-12.3
69026414,-1.79,-177.77,5.1,9.73,-1.0,5.2,-10.6
69203404,-1.84,-177.98,5.3,9.49,-0.9,5.3,-9.4
69380396,-1.89,-178.20,5.4,9.22,-0.8,5.5,-8.1
69557386,-1.96,-178.45,5.6,8.89,-0.7,5.7,-6.8
69734376,-2.03,-178.66,5.8,8.60,-0.6,5.8,-5.7
69911368,-2.10,-178.90,6.0,8.30,-0.5,6.0,-4.5
70088358,-2.20,-178.91,6.3,7.93,-0.5,6.3,-4.2
70265348,-2.30,-178.89,6.6,7.61,-0.5,6.6,-4.1
70442340,-2.39,-178.87,6.8,7.32,-0.5,6.8,-4.0
70619330,-2.50,-178.57,7.1,7.00,-0.6,7.2,-4.9
70796320,-2.60,-178.22,7.4,6.74,-0.8,7.5,-5.8
70973312,-2.71,-177.96,7.7,6.47,-0.9,7.8,-6.4
71150302,-2.77,-177.27,7.9,6.32,-1.2,8.0,-8.3
71327292,-2.84,-176.50,8.1,6.17,-1.5,8.2,-10.4
71504284,-2.90,-175.83,8.3,6.04,-1.8,8.5,-12.1
71681274,-2.90,-175.02,8.3,6.04,-2.1,8.6,-14.3
71858264,-2.91,-174.13,8.3,6.03,-2.5,8.7,-16.7
72035256,-2.92,-173.27,8.4,6.00,-2.9,8.8,-18.9
72212246,-2.86,-172.59,8.2,6.13,-3.2,8.8,-21.0
72389236,-2.80,-171.96,8.0,6.26,-3.4,8.7,-23.1
72566228,-2.74,-171.23,7.9,6.40,-3.7,8.7,-25.5
72743218,-2.64,-170.90,7.6,6.62,-3.9,8.5,-27.1
72920208,-2.56,-170.52,7.4,6.83,-4.1,8.4,-28.8
73097200,-2.47,-170.12,7.1,7.08,-4.2,8.3,-30.8
73274190,-2.37,-170.03,6.8,7.38,-4.3,8.1,-32.1
73451180,-2.26,-169.95,6.5,7.72,-4.3,7.8,-33.5
73628172,-2.16,-169.84,6.2,8.09,-4.4,7.6,-35.1
73805162,-2.07,-169.99,6.0,8.44,-4.3,7.4,-35.9
73982152,-1.99,-170.13,5.7,8.78,-4.3,7.1,-36.6
74159144,-1.91,-170.32,5.5,9.13,-4.2,6.9,-37.2
74336134,-1.84,-170.67,5.3,9.46,-4.0,6.7,-37.2
74513124,-1.78,-170.97,5.1,9.78,-3.9,6.5,-37.2
74690116,-1.72,-171.26,5.0,10.13,-3.8,6.2,-37.3
74867106,-1.68,-171.56,4.9,10.35,-3.7,6.1,-36.9
75044096,-1.63,-171.91,4.7,10.70,-3.5,5.9,-36.8
75221088,-1.59,-172.17,4.6,10.96,-3.4,5.7,-36.5
