Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
69203404,-1.24,-179.12,3.6,14.07,-0.4,3.6,-6.2
69380396,-1.26,-179.33,3.6,13.79,-0.3,3.6,-4.6
69557386,-1.28,-179.60,3.7,13.58,-0.2,3.7,-2.7
69734376,-1.30,-179.84,3.7,13.40,-0.1,3.7,-1.1
69911368,-1.32,179.90,3.8,13.18,0.0,3.8,0.7
70088358,-1.36,179.65,3.9,12.81,0.2,3.9,2.2
70265348,-1.39,179.43,4.0,12.49,0.2,4.0,3.5
70442340,-1.42,179.22,4.1,12.22,0.3,4.1,4.7
70619330,-1.46,178.99,4.2,11.89,0.4,4.2,5.9
70796320,-1.49,178.82,4.3,11.65,0.5,4.3,6.8
70973312,-1.53,178.56,4.4,11.38,0.6,4.4,8.1
71150302,-1.59,178.43,4.6,10.97,0.7,4.6,8.5
71327292,-1.65,178.33,4.7,10.58,0.7,4.8,8.7
71504284,-1.70,178.16,4.9,10.25,0.8,4.9,9.2
71681274,-1.76,178.14,5.1,9.90,0.8,5.1,9.1
71858264,-1.83,178.16,5.3,9.52,0.8,5.3,8.6
72035256,-1.91,178.15,5.5,9.13,0.8,5.5,8.3
72212246,-1.98,178.30,5.7,8.81,0.7,5.7,7.3
72389236,-2.05,178.44,5.9,8.51,0.7,5.9,6.5
72566228,-2.12,178.63,6.1,8.23,0.6,6.1,5.5
72743218,-2.18,179.01,6.2,8.02,0.4,6.3,3.9
72920208,-2.25,179.41,6.4,7.78,0.3,6.4,2.2
73097200,-2.31,179.88,6.6,7.56,0.1,6.6,0.5
73274190,-2.33,-179.39,6.7,7.50,-0.3,6.7,-2.2
73451180,-2.35,-178.70,6.7,7.44,-0.6,6.7,-4.7
73628172,-2.37,-177.95,6.8,7.38,-0.9,6.8,-7.4
73805162,-2.31,-177.19,6.6,7.57,-1.2,6.7,-10.3
73982152,-2.26,-176.44,6.5,7.73,-1.5,6.7,-13.3
74159144,-2.21,-175.75,6.3,7.90,-1.8,6.6,-16.1
74336134,-2.10,-175.52,6.0,8.32,-1.9,6.3,-17.8
74513124,-2.00,-175.24,5.7,8.74,-2.1,6.1,-19.7
74690116,-1.89,-174.95,5.4,9.21,-2.2,5.9,-21.8
74867106,-1.80,-175.07,5.2,9.68,-2.1,5.6,-22.4
75044096,-1.69,-175.22,4.9,10.30,-2.1,5.3,-23.0
75221088,-1.60,-175.30,4.6,10.88,-2.0,5.0,-23.9
75398078,-1.54,-175.63,4.4,11.28,-1.9,4.8,-23.1
75575068,-1.47,-175.92,4.2,11.86,-1.8,4.6,-22.7
75752060,-1.42,-176.21,4.1,12.30,-1.6,4.4,-22.0
75929050,-1.38,-176.52,4.0,12.60,-1.5,4.2,-20.8
76106040,-1.34,-176.93,3.9,12.98,-1.3,4.1,-19.1
76283032,-1.30,-177.23,3.7,13.40,-1.2,3.9,-17.8
76460022,-1.27,-177.48,3.7,13.66,-1.1,3.8,-16.6
76637012,-1.25,-177.80,3.6,13.92,-1.0,3.7,-14.9
76814004,-1.23,-178.10,3.5,14.20,-0.8,3.6,-13.2
76990994,-1.22,-178.33,3.5,14.32,-0.7,3.6,-11.7
77167984,-1.21,-178.61,3.5,14.43,-0.6,3.5,-9.9
77344976,-1.20,-178.80,3.5,14.49,-0.5,3.5,-8.6
77521966,-1.19,-179.12,3.4,14.67,-0.4,3.4,-6.4
77698956,-1.17,-179.37,3.4,14.91,-0.3,3.4,-4.7
77875948,-1.15,-179.69,3.3,15.09,-0.1,3.3,-2.3
78052938,-1.15,-179.92,3.3,15.10,-0.0,3.3,-0.6
78229928,-1.14,179.91,3.3,15.20,0.0,3.3,0.7
78406920,-1.14,179.73,3.3,15.21,0.1,3.3,2.0
78583910,-1.13,179.52,3.3,15.35,0.2,3.3,3.6
78760900,-1.14,179.30,3.3,15.26,0.3,3.3,5.3
78937892,-1.13,179.13,3.3,15.38,0.4,3.3,6.6
79114882,-1.12,178.91,3.2,15.49,0.5,3.3,8.3
79291872,-1.12,178.75,3.2,15.60,0.5,3.3,9.6
79468864,-1.11,178.51,3.2,15.62,0.6,3.3,11.4
79645854,-1.11,178.32,3.2,15.67,0.7,3.3,12.9
79822844,-1.11,178.11,3.2,15.62,0.8,3.3,14.4
79999836,-1.11,177.92,3.2,15.66,0.9,3.3,15.8
80176826,-1.10,177.75,3.2,15.75,1.0,3.3,17.1
80353816,-1.11,177.58,3.2,15.74,1.1,3.3,18.3
80530808,-1.10,177.36,3.2,15.79,1.1,3.4,19.9
