Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
54336188,-1.20,-153.68,3.6,14.52,-11.6,12.2,-72.7
54513180,-1.21,-153.80,3.7,14.39,-11.6,12.1,-72.4
54690170,-1.21,-153.96,3.7,14.39,-11.5,12.1,-72.4
54867160,-1.21,-154.09,3.7,14.40,-11.4,12.0,-72.3
55044152,-1.23,-154.29,3.7,14.15,-11.4,11.9,-71.9
55221142,-1.21,-154.42,3.7,14.35,-11.3,11.9,-72.0
55398132,-1.21,-154.57,3.7,14.37,-11.2,11.8,-72.0
55575124,-1.20,-154.74,3.6,14.48,-11.1,11.7,-72.0
55752114,-1.20,-154.89,3.6,14.48,-11.1,11.7,-71.9
55929104,-1.21,-155.06,3.6,14.40,-11.0,11.6,-71.7
56106096,-1.21,-155.21,3.7,14.35,-10.9,11.5,-71.5
56283086,-1.21,-155.39,3.6,14.36,-10.8,11.4,-71.4
56460076,-1.20,-155.53,3.6,14.45,-10.8,11.4,-71.4
56637068,-1.22,-155.71,3.7,14.30,-10.7,11.3,-71.1
56814058,-1.23,-155.91,3.7,14.17,-10.6,11.2,-70.8
56991048,-1.23,-156.07,3.7,14.15,-10.5,11.2,-70.7
57168040,-1.23,-156.23,3.7,14.13,-10.5,11.1,-70.6
57345030,-1.23,-156.38,3.7,14.11,-10.4,11.0,-70.4
57522020,-1.23,-156.54,3.7,14.16,-10.3,11.0,-70.4
57699012,-1.23,-156.62,3.7,14.20,-10.3,10.9,-70.4
57876002,-1.22,-156.75,3.7,14.21,-10.2,10.9,-70.3
58052992,-1.23,-156.94,3.7,14.11,-10.1,10.8,-70.0
58229984,-1.23,-157.11,3.7,14.18,-10.1,10.7,-70.0
58406974,-1.24,-157.31,3.7,14.08,-10.0,10.6,-69.7
58583964,-1.23,-157.42,3.7,14.13,-9.9,10.6,-69.7
58760956,-1.24,-157.61,3.7,14.02,-9.8,10.5,-69.4
58937946,-1.24,-157.78,3.7,14.02,-9.8,10.4,-69.2
59114936,-1.24,-157.92,3.7,13.99,-9.7,10.4,-69.1
59291928,-1.25,-158.07,3.7,13.93,-9.6,10.3,-68.9
59468918,-1.24,-158.21,3.7,14.02,-9.6,10.3,-68.9
59645908,-1.24,-158.43,3.7,13.98,-9.5,10.2,-68.6
59822900,-1.24,-158.58,3.7,14.01,-9.4,10.1,-68.6
59999890,-1.25,-158.73,3.7,13.97,-9.3,10.0,-68.4
60176880,-1.25,-158.85,3.7,13.91,-9.3,10.0,-68.2
60353872,-1.26,-159.02,3.8,13.78,-9.2,9.9,-67.8
60530862,-1.27,-159.16,3.8,13.73,-9.1,9.9,-67.6
60707852,-1.27,-159.28,3.8,13.67,-9.1,9.8,-67.4
60884844,-1.27,-159.41,3.8,13.76,-9.0,9.8,-67.4
61061834,-1.28,-159.61,3.8,13.61,-8.9,9.7,-67.0
61238824,-1.29,-159.76,3.8,13.48,-8.9,9.7,-66.7
61415816,-1.28,-159.84,3.8,13.61,-8.8,9.6,-66.8
61592806,-1.28,-160.05,3.8,13.55,-8.7,9.5,-66.5
61769796,-1.29,-160.23,3.8,13.48,-8.7,9.5,-66.2
61946788,-1.29,-160.43,3.8,13.51,-8.6,9.4,-66.0
62123778,-1.28,-160.61,3.8,13.58,-8.5,9.3,-66.0
62300768,-1.29,-160.73,3.8,13.46,-8.4,9.3,-65.6
62477760,-1.29,-160.88,3.8,13.54,-8.4,9.2,-65.6
62654750,-1.29,-161.06,3.8,13.45,-8.3,9.1,-65.3
62831740,-1.31,-161.19,3.9,13.32,-8.2,9.1,-64.9
63008732,-1.31,-161.30,3.9,13.30,-8.2,9.0,-64.7
63185722,-1.30,-161.51,3.8,13.35,-8.1,9.0,-64.6
63362712,-1.30,-161.57,3.8,13.37,-8.1,8.9,-64.5
63539704,-1.30,-161.77,3.8,13.39,-8.0,8.8,-64.3
63716694,-1.31,-161.95,3.9,13.27,-7.9,8.8,-63.9
63893684,-1.32,-162.09,3.9,13.22,-7.8,8.7,-63.7
64070676,-1.32,-162.29,3.9,13.20,-7.7,8.7,-63.4
64247666,-1.33,-162.45,3.9,13.05,-7.7,8.6,-62.9
64424656,-1.33,-162.61,3.9,13.09,-7.6,8.5,-62.8
64601648,-1.34,-162.79,3.9,12.98,-7.5,8.5,-62.3
64778638,-1.35,-162.87,4.0,12.86,-7.5,8.5,-62.0
64955628,-1.35,-163.10,4.0,12.88,-7.4,8.4,-61.8
65132620,-1.36,-163.23,4.0,12.76,-7.3,8.3,-61.3
65309610,-1.37,-163.34,4.0,12.70,-7.3,8.3,-61.1
65486600,-1.37,-163.52,4.0,12.66,-7.2,8.2,-60.7
65663592,-1.38,-163.60,4.1,12.59,-7.2,8.2,-60.5
65840582,-1.39,-163.78,4.1,12.50,-7.1,8.2,-60.0
66017572,-1.40,-163.93,4.1,12.44,-7.0,8.1,-59.7
66194564,-1.41,-164.05,4.1,12.36,-7.0,8.1,-59.3
66371554,-1.42,-164.20,4.1,12.30,-6.9,8.0,-59.0
66548544,-1.42,-164.31,4.1,12.29,-6.8,8.0,-58.8
66725536,-1.41,-164.48,4.1,12.34,-6.8,7.9,-58.6
66902526,-1.43,-164.58,4.2,12.18,-6.7,7.9,-58.1
67079516,-1.44,-164.72,4.2,12.10,-6.7,7.9,-57.7
67256508,-1.44,-164.83,4.2,12.09,-6.6,7.8,-57.5
67433498,-1.45,-164.97,4.2,12.01,-6.5,7.8,-57.1
67610488,-1.46,-165.09,4.3,11.91,-6.5,7.8,-56.7
67787480,-1.47,-165.26,4.3,11.87,-6.4,7.7,-56.3
67964470,-1.48,-165.38,4.3,11.78,-6.4,7.7,-55.9
68141460,-1.47,-165.52,4.3,11.81,-6.3,7.6,-55.7
68318452,-1.49,-165.58,4.3,11.69,-6.3,7.6,-55.3
68495442,-1.49,-165.79,4.4,11.65,-6.2,7.6,-54.8
68672432,-1.51,-165.87,4.4,11.53,-6.1,7.6,-54.4
68849424,-1.51,-166.02,4.4,11.53,-6.1,7.5,-54.1
69026414,-1.52,-166.18,4.4,11.42,-6.0,7.5,-53.5
69203404,-1.53,-166.31,4.4,11.42,-6.0,7.4,-53.3
69380396,-1.54,-166.42,4.5,11.33,-5.9,7.4,-52.8
69557386,-1.55,-166.53,4.5,11.27,-5.9,7.4,-52.5
69734376,-1.55,-166.62,4.5,11.26,-5.8,7.4,-52.3
69911368,-1.55,-166.71,4.5,11.22,-5.8,7.3,-52.0
70088358,-1.57,-166.86,4.6,11.09,-5.7,7.3,-51.3
70265348,-1.58,-166.98,4.6,11.00,-5.7,7.3,-50.9
70442340,-1.59,-167.10,4.6,10.93,-5.6,7.3,-50.4
70619330,-1.61,-167.22,4.7,10.85,-5.6,7.3,-50.0
70796320,-1.61,-167.32,4.7,10.80,-5.5,7.2,-49.6
